2025/08/31 13:14:31 [ERROR][aof.go:248] exec err -NOAUTH Authentication required

2025/08/31 13:14:31 [ERROR][aof.go:248] exec err -NOAUTH Authentication required

2025/08/31 13:14:31 [ERROR][aof.go:248] exec err -NOAUTH Authentication required

2025/08/31 13:14:31 [ERROR][aof.go:248] exec err -NOAUTH Authentication required

2025/08/31 13:14:31 [ERROR][aof.go:248] exec err -NOAUTH Authentication required

2025/08/31 13:14:31 [ERROR][aof.go:248] exec err -NOAUTH Authentication required

2025/08/31 13:14:31 [ERROR][aof.go:248] exec err -NOAUTH Authentication required

2025/08/31 13:14:31 [ERROR][aof.go:248] exec err -NOAUTH Authentication required

2025/08/31 13:14:31 [ERROR][aof.go:248] exec err -NOAUTH Authentication required

2025/08/31 13:14:31 [ERROR][aof.go:248] exec err -NOAUTH Authentication required

2025/08/31 13:14:31 [ERROR][aof.go:248] exec err -NOAUTH Authentication required

2025/08/31 13:15:56 [ERROR][aof.go:248] exec err -NOAUTH Authentication required

2025/08/31 13:15:56 [ERROR][aof.go:248] exec err -NOAUTH Authentication required

2025/08/31 13:15:56 [ERROR][aof.go:248] exec err -NOAUTH Authentication required

2025/08/31 13:15:56 [ERROR][aof.go:248] exec err -NOAUTH Authentication required

2025/08/31 13:15:56 [ERROR][aof.go:248] exec err -NOAUTH Authentication required

2025/08/31 13:15:56 [ERROR][aof.go:248] exec err -NOAUTH Authentication required

2025/08/31 13:15:56 [ERROR][aof.go:248] exec err -NOAUTH Authentication required

2025/08/31 13:15:56 [ERROR][aof.go:248] exec err -NOAUTH Authentication required

2025/08/31 13:15:56 [ERROR][aof.go:248] exec err -NOAUTH Authentication required

2025/08/31 13:15:56 [ERROR][aof.go:248] exec err -NOAUTH Authentication required

2025/08/31 13:15:56 [ERROR][aof.go:248] exec err -NOAUTH Authentication required

2025/08/31 13:23:58 [INFO][server.go:48] bind: 0.0.0.0:6399, start listening...
2025/08/31 13:25:15 [INFO][node_manager.go:126] rebalance plan generated, contains 0 tasks
2025/08/31 13:25:16 [INFO][node_manager.go:126] rebalance plan generated, contains 0 tasks
2025/08/31 13:25:17 [INFO][node_manager.go:126] rebalance plan generated, contains 0 tasks
2025/08/31 13:25:18 [INFO][node_manager.go:126] rebalance plan generated, contains 0 tasks
2025/08/31 13:25:19 [INFO][node_manager.go:126] rebalance plan generated, contains 0 tasks
2025/08/31 13:25:20 [INFO][node_manager.go:126] rebalance plan generated, contains 0 tasks
2025/08/31 13:25:21 [INFO][node_manager.go:126] rebalance plan generated, contains 0 tasks
2025/08/31 13:25:22 [INFO][server.go:63] get exit signal
2025/08/31 13:25:22 [INFO][server.go:67] Shuting down...
2025/08/31 13:25:27 [INFO][server.go:48] bind: 0.0.0.0:6399, start listening...
2025/08/31 13:25:28 [ERROR][replica_manager.go:66] dial tcp: missing address
2025/08/31 13:25:43 [ERROR][cluster.go:32] local bind address is not advertisable
2025/08/31 13:26:13 [INFO][server.go:48] bind: 0.0.0.0:7379, start listening...
2025/08/31 13:26:14 [ERROR][replica_manager.go:66] dial tcp: missing address
2025/08/31 13:27:46 [INFO][server.go:48] bind: 0.0.0.0:6399, start listening...
2025/08/31 13:27:57 [INFO][server.go:48] bind: 0.0.0.0:6399, start listening...
2025/08/31 13:28:34 [INFO][server.go:48] bind: 0.0.0.0:6399, start listening...
2025/08/31 13:28:35 [ERROR][replica_manager.go:66] dial tcp: missing address
2025/08/31 13:41:53 [INFO][server.go:48] bind: 0.0.0.0:6399, start listening...
2025/08/31 13:41:54 [INFO][server.go:63] get exit signal
2025/08/31 13:41:54 [INFO][server.go:67] Shuting down...
2025/08/31 13:45:11 [INFO][server.go:48] bind: 0.0.0.0:6399, start listening...
2025/08/31 13:45:12 [INFO][node_manager.go:126] rebalance plan generated, contains 0 tasks
2025/08/31 13:45:13 [INFO][node_manager.go:126] rebalance plan generated, contains 0 tasks
2025/08/31 13:45:14 [INFO][node_manager.go:126] rebalance plan generated, contains 0 tasks
2025/08/31 13:45:15 [INFO][node_manager.go:126] rebalance plan generated, contains 0 tasks
2025/08/31 13:45:16 [INFO][node_manager.go:126] rebalance plan generated, contains 0 tasks
2025/08/31 13:45:17 [INFO][node_manager.go:126] rebalance plan generated, contains 0 tasks
2025/08/31 13:45:18 [INFO][node_manager.go:126] rebalance plan generated, contains 0 tasks
2025/08/31 13:45:19 [INFO][node_manager.go:126] rebalance plan generated, contains 0 tasks
2025/08/31 13:45:20 [INFO][node_manager.go:126] rebalance plan generated, contains 0 tasks
2025/08/31 13:45:21 [INFO][node_manager.go:126] rebalance plan generated, contains 0 tasks
2025/08/31 13:45:22 [INFO][node_manager.go:126] rebalance plan generated, contains 0 tasks
2025/08/31 13:45:23 [INFO][node_manager.go:126] rebalance plan generated, contains 0 tasks
2025/08/31 13:45:24 [INFO][node_manager.go:126] rebalance plan generated, contains 0 tasks
2025/08/31 13:45:25 [INFO][node_manager.go:126] rebalance plan generated, contains 0 tasks
2025/08/31 13:45:26 [INFO][node_manager.go:126] rebalance plan generated, contains 0 tasks
2025/08/31 13:45:27 [INFO][node_manager.go:126] rebalance plan generated, contains 0 tasks
2025/08/31 13:45:28 [INFO][node_manager.go:126] rebalance plan generated, contains 0 tasks
2025/08/31 13:45:29 [INFO][node_manager.go:126] rebalance plan generated, contains 0 tasks
2025/08/31 13:45:30 [INFO][node_manager.go:126] rebalance plan generated, contains 0 tasks
2025/08/31 13:45:31 [INFO][node_manager.go:126] rebalance plan generated, contains 0 tasks
2025/08/31 13:45:32 [INFO][node_manager.go:126] rebalance plan generated, contains 0 tasks
2025/08/31 13:45:36 [INFO][server.go:48] bind: 0.0.0.0:6399, start listening...
2025/08/31 13:45:36 [INFO][server.go:89] accept link
2025/08/31 13:45:36 [INFO][server.go:89] accept link
2025/08/31 13:45:36 [ERROR][cluster.go:32] dial tcp: missing address

2025/08/31 13:45:36 [INFO][server.go:69] connection closed: 127.0.0.1:39198
2025/08/31 13:45:36 [INFO][server.go:69] connection closed: 127.0.0.1:39208
2025/08/31 13:45:51 [INFO][server.go:48] bind: 0.0.0.0:6399, start listening...
2025/08/31 13:46:15 [INFO][server.go:48] bind: 0.0.0.0:6399, start listening...
2025/08/31 13:46:44 [ERROR][cluster.go:32] dial tcp 127.0.0.1:6399: connect: connection refused
2025/08/31 13:46:51 [INFO][server.go:48] bind: 0.0.0.0:6399, start listening...
2025/08/31 13:48:42 [INFO][server.go:48] bind: 0.0.0.0:6399, start listening...
2025/08/31 13:51:03 [INFO][server.go:48] bind: 0.0.0.0:6399, start listening...
2025/08/31 13:51:04 [INFO][node_manager.go:126] rebalance plan generated, contains 0 tasks
2025/08/31 13:51:05 [INFO][node_manager.go:126] rebalance plan generated, contains 0 tasks
2025/08/31 13:51:06 [INFO][node_manager.go:126] rebalance plan generated, contains 0 tasks
2025/08/31 13:51:07 [INFO][node_manager.go:126] rebalance plan generated, contains 0 tasks
2025/08/31 13:51:08 [INFO][node_manager.go:126] rebalance plan generated, contains 0 tasks
2025/08/31 13:51:09 [INFO][node_manager.go:126] rebalance plan generated, contains 0 tasks
2025/08/31 13:51:10 [INFO][node_manager.go:126] rebalance plan generated, contains 0 tasks
2025/08/31 13:51:11 [INFO][node_manager.go:126] rebalance plan generated, contains 0 tasks
2025/08/31 13:51:12 [INFO][node_manager.go:126] rebalance plan generated, contains 0 tasks
2025/08/31 13:51:13 [INFO][node_manager.go:126] rebalance plan generated, contains 0 tasks
2025/08/31 13:51:14 [INFO][node_manager.go:126] rebalance plan generated, contains 0 tasks
2025/08/31 13:51:15 [INFO][node_manager.go:126] rebalance plan generated, contains 0 tasks
2025/08/31 13:51:16 [INFO][node_manager.go:126] rebalance plan generated, contains 0 tasks
2025/08/31 13:51:17 [INFO][node_manager.go:126] rebalance plan generated, contains 0 tasks
2025/08/31 13:51:18 [INFO][node_manager.go:126] rebalance plan generated, contains 0 tasks
2025/08/31 13:51:19 [INFO][node_manager.go:126] rebalance plan generated, contains 0 tasks
2025/08/31 13:51:20 [INFO][node_manager.go:126] rebalance plan generated, contains 0 tasks
2025/08/31 13:51:21 [INFO][node_manager.go:126] rebalance plan generated, contains 0 tasks
2025/08/31 13:51:22 [INFO][node_manager.go:126] rebalance plan generated, contains 0 tasks
2025/08/31 13:51:23 [INFO][node_manager.go:126] rebalance plan generated, contains 0 tasks
2025/08/31 13:51:24 [INFO][node_manager.go:126] rebalance plan generated, contains 0 tasks
2025/08/31 13:51:25 [INFO][node_manager.go:126] rebalance plan generated, contains 0 tasks
2025/08/31 13:51:26 [INFO][node_manager.go:126] rebalance plan generated, contains 0 tasks
2025/08/31 13:51:27 [INFO][node_manager.go:126] rebalance plan generated, contains 0 tasks
2025/08/31 13:51:28 [INFO][node_manager.go:126] rebalance plan generated, contains 0 tasks
2025/08/31 13:51:29 [INFO][node_manager.go:126] rebalance plan generated, contains 0 tasks
2025/08/31 13:51:30 [INFO][node_manager.go:126] rebalance plan generated, contains 0 tasks
2025/08/31 13:51:31 [INFO][node_manager.go:126] rebalance plan generated, contains 0 tasks
2025/08/31 13:51:32 [INFO][node_manager.go:126] rebalance plan generated, contains 0 tasks
2025/08/31 13:51:33 [INFO][node_manager.go:126] rebalance plan generated, contains 0 tasks
2025/08/31 13:51:34 [INFO][node_manager.go:126] rebalance plan generated, contains 0 tasks
2025/08/31 13:51:35 [INFO][node_manager.go:126] rebalance plan generated, contains 0 tasks
2025/08/31 13:51:36 [INFO][node_manager.go:126] rebalance plan generated, contains 0 tasks
2025/08/31 13:51:37 [INFO][node_manager.go:126] rebalance plan generated, contains 0 tasks
2025/08/31 13:51:38 [INFO][node_manager.go:126] rebalance plan generated, contains 0 tasks
2025/08/31 13:51:39 [INFO][node_manager.go:126] rebalance plan generated, contains 0 tasks
2025/08/31 13:51:40 [INFO][node_manager.go:126] rebalance plan generated, contains 0 tasks
2025/08/31 13:51:41 [INFO][node_manager.go:126] rebalance plan generated, contains 0 tasks
2025/08/31 13:51:42 [INFO][node_manager.go:126] rebalance plan generated, contains 0 tasks
2025/08/31 13:51:43 [INFO][node_manager.go:126] rebalance plan generated, contains 0 tasks
2025/08/31 13:51:44 [INFO][node_manager.go:126] rebalance plan generated, contains 0 tasks
2025/08/31 13:51:45 [INFO][node_manager.go:126] rebalance plan generated, contains 0 tasks
2025/08/31 13:51:46 [INFO][node_manager.go:126] rebalance plan generated, contains 0 tasks
2025/08/31 13:51:47 [INFO][node_manager.go:126] rebalance plan generated, contains 0 tasks
2025/08/31 13:51:48 [INFO][node_manager.go:126] rebalance plan generated, contains 0 tasks
2025/08/31 13:51:49 [INFO][node_manager.go:126] rebalance plan generated, contains 0 tasks
2025/08/31 13:51:50 [INFO][node_manager.go:126] rebalance plan generated, contains 0 tasks
2025/08/31 13:51:51 [INFO][node_manager.go:126] rebalance plan generated, contains 0 tasks
2025/08/31 13:51:52 [INFO][node_manager.go:126] rebalance plan generated, contains 0 tasks
2025/08/31 13:51:53 [INFO][node_manager.go:126] rebalance plan generated, contains 0 tasks
2025/08/31 13:51:54 [INFO][node_manager.go:126] rebalance plan generated, contains 0 tasks
2025/08/31 13:51:54 [INFO][server.go:89] accept link
2025/08/31 13:51:54 [INFO][node_manager.go:100] Node 0.0.0.0:6400 joined cluster via 0.0.0.0:16667 (master=)
2025/08/31 13:51:54 [INFO][server.go:48] bind: 0.0.0.0:6400, start listening...
2025/08/31 13:51:55 [INFO][node_manager.go:126] rebalance plan generated, contains 1 tasks
2025/08/31 13:51:55 [INFO][node_manager.go:219] propose EventStartMigrate 6gAP7EJ5ZAYTWampsq98 success
2025/08/31 13:51:55 [INFO][server.go:89] accept link
2025/08/31 13:51:55 [INFO][node_manager.go:137] triggerMigrationTask 6gAP7EJ5ZAYTWampsq98 success
2025/08/31 13:51:55 [INFO][migration.go:263] received importing task 6gAP7EJ5ZAYTWampsq98, 512 slots to import
2025/08/31 13:51:55 [INFO][server.go:89] accept link
2025/08/31 13:51:55 [INFO][migration.go:161] finish dump slot  0
2025/08/31 13:51:55 [INFO][migration.go:161] finish dump slot  1
2025/08/31 13:51:55 [INFO][migration.go:161] finish dump slot  2
2025/08/31 13:51:55 [INFO][migration.go:161] finish dump slot  3
2025/08/31 13:51:55 [INFO][migration.go:161] finish dump slot  4
2025/08/31 13:51:55 [INFO][migration.go:161] finish dump slot  5
2025/08/31 13:51:55 [INFO][migration.go:161] finish dump slot  6
2025/08/31 13:51:55 [INFO][migration.go:161] finish dump slot  7
2025/08/31 13:51:55 [INFO][migration.go:161] finish dump slot  8
2025/08/31 13:51:55 [INFO][migration.go:161] finish dump slot  9
2025/08/31 13:51:55 [INFO][migration.go:161] finish dump slot  10
2025/08/31 13:51:55 [INFO][migration.go:161] finish dump slot  11
2025/08/31 13:51:55 [INFO][migration.go:161] finish dump slot  12
2025/08/31 13:51:55 [INFO][migration.go:161] finish dump slot  13
2025/08/31 13:51:55 [INFO][migration.go:161] finish dump slot  14
2025/08/31 13:51:55 [INFO][migration.go:161] finish dump slot  15
2025/08/31 13:51:55 [INFO][migration.go:161] finish dump slot  16
2025/08/31 13:51:55 [INFO][migration.go:161] finish dump slot  17
2025/08/31 13:51:55 [INFO][migration.go:161] finish dump slot  18
2025/08/31 13:51:55 [INFO][migration.go:161] finish dump slot  19
2025/08/31 13:51:55 [INFO][migration.go:161] finish dump slot  20
2025/08/31 13:51:55 [INFO][migration.go:161] finish dump slot  21
2025/08/31 13:51:55 [INFO][migration.go:161] finish dump slot  22
2025/08/31 13:51:55 [INFO][migration.go:161] finish dump slot  23
2025/08/31 13:51:55 [INFO][migration.go:161] finish dump slot  24
2025/08/31 13:51:55 [INFO][migration.go:161] finish dump slot  25
2025/08/31 13:51:55 [INFO][migration.go:161] finish dump slot  26
2025/08/31 13:51:55 [INFO][migration.go:161] finish dump slot  27
2025/08/31 13:51:55 [INFO][migration.go:161] finish dump slot  28
2025/08/31 13:51:55 [INFO][migration.go:161] finish dump slot  29
2025/08/31 13:51:55 [INFO][migration.go:161] finish dump slot  30
2025/08/31 13:51:55 [INFO][migration.go:161] finish dump slot  31
2025/08/31 13:51:55 [INFO][migration.go:161] finish dump slot  32
2025/08/31 13:51:55 [INFO][migration.go:161] finish dump slot  33
2025/08/31 13:51:55 [INFO][migration.go:161] finish dump slot  34
2025/08/31 13:51:55 [INFO][migration.go:161] finish dump slot  35
2025/08/31 13:51:55 [INFO][migration.go:161] finish dump slot  36
2025/08/31 13:51:55 [INFO][migration.go:161] finish dump slot  37
2025/08/31 13:51:55 [INFO][migration.go:161] finish dump slot  38
2025/08/31 13:51:55 [INFO][migration.go:161] finish dump slot  39
2025/08/31 13:51:55 [INFO][migration.go:161] finish dump slot  40
2025/08/31 13:51:55 [INFO][migration.go:161] finish dump slot  41
2025/08/31 13:51:55 [INFO][migration.go:161] finish dump slot  42
2025/08/31 13:51:55 [INFO][migration.go:161] finish dump slot  43
2025/08/31 13:51:55 [INFO][migration.go:161] finish dump slot  44
2025/08/31 13:51:55 [INFO][migration.go:161] finish dump slot  45
2025/08/31 13:51:55 [INFO][migration.go:161] finish dump slot  46
2025/08/31 13:51:55 [INFO][migration.go:161] finish dump slot  47
2025/08/31 13:51:55 [INFO][migration.go:161] finish dump slot  48
2025/08/31 13:51:55 [INFO][migration.go:161] finish dump slot  49
2025/08/31 13:51:55 [INFO][migration.go:161] finish dump slot  50
2025/08/31 13:51:55 [INFO][migration.go:161] finish dump slot  51
2025/08/31 13:51:55 [INFO][migration.go:161] finish dump slot  52
2025/08/31 13:51:55 [INFO][migration.go:161] finish dump slot  53
2025/08/31 13:51:55 [INFO][migration.go:161] finish dump slot  54
2025/08/31 13:51:55 [INFO][migration.go:161] finish dump slot  55
2025/08/31 13:51:55 [INFO][migration.go:161] finish dump slot  56
2025/08/31 13:51:55 [INFO][migration.go:161] finish dump slot  57
2025/08/31 13:51:55 [INFO][migration.go:161] finish dump slot  58
2025/08/31 13:51:55 [INFO][migration.go:161] finish dump slot  59
2025/08/31 13:51:55 [INFO][migration.go:161] finish dump slot  60
2025/08/31 13:51:55 [INFO][migration.go:161] finish dump slot  61
2025/08/31 13:51:55 [INFO][migration.go:161] finish dump slot  62
2025/08/31 13:51:55 [INFO][migration.go:161] finish dump slot  63
2025/08/31 13:51:55 [INFO][migration.go:161] finish dump slot  64
2025/08/31 13:51:55 [INFO][migration.go:161] finish dump slot  65
2025/08/31 13:51:55 [INFO][migration.go:161] finish dump slot  66
2025/08/31 13:51:55 [INFO][migration.go:161] finish dump slot  67
2025/08/31 13:51:55 [INFO][migration.go:161] finish dump slot  68
2025/08/31 13:51:55 [INFO][migration.go:161] finish dump slot  69
2025/08/31 13:51:55 [INFO][migration.go:161] finish dump slot  70
2025/08/31 13:51:55 [INFO][migration.go:161] finish dump slot  71
2025/08/31 13:51:55 [INFO][migration.go:161] finish dump slot  72
2025/08/31 13:51:55 [INFO][migration.go:161] finish dump slot  73
2025/08/31 13:51:55 [INFO][migration.go:161] finish dump slot  74
2025/08/31 13:51:55 [INFO][migration.go:161] finish dump slot  75
2025/08/31 13:51:55 [INFO][migration.go:161] finish dump slot  76
2025/08/31 13:51:55 [INFO][migration.go:161] finish dump slot  77
2025/08/31 13:51:55 [INFO][migration.go:161] finish dump slot  78
2025/08/31 13:51:55 [INFO][migration.go:161] finish dump slot  79
2025/08/31 13:51:55 [INFO][migration.go:161] finish dump slot  80
2025/08/31 13:51:55 [INFO][migration.go:161] finish dump slot  81
2025/08/31 13:51:55 [INFO][migration.go:161] finish dump slot  82
2025/08/31 13:51:55 [INFO][migration.go:161] finish dump slot  83
2025/08/31 13:51:55 [INFO][migration.go:161] finish dump slot  84
2025/08/31 13:51:55 [INFO][migration.go:302] importing task received OK reply
2025/08/31 13:51:55 [INFO][migration.go:161] finish dump slot  85
2025/08/31 13:51:55 [INFO][migration.go:161] finish dump slot  86
2025/08/31 13:51:55 [INFO][migration.go:161] finish dump slot  87
2025/08/31 13:51:55 [INFO][migration.go:161] finish dump slot  88
2025/08/31 13:51:55 [INFO][migration.go:161] finish dump slot  89
2025/08/31 13:51:55 [INFO][migration.go:161] finish dump slot  90
2025/08/31 13:51:55 [INFO][migration.go:161] finish dump slot  91
2025/08/31 13:51:55 [INFO][migration.go:161] finish dump slot  92
2025/08/31 13:51:55 [INFO][migration.go:161] finish dump slot  93
2025/08/31 13:51:55 [INFO][migration.go:161] finish dump slot  94
2025/08/31 13:51:55 [INFO][migration.go:161] finish dump slot  95
2025/08/31 13:51:55 [INFO][migration.go:161] finish dump slot  96
2025/08/31 13:51:55 [INFO][migration.go:161] finish dump slot  97
2025/08/31 13:51:55 [INFO][migration.go:161] finish dump slot  98
2025/08/31 13:51:55 [INFO][migration.go:161] finish dump slot  99
2025/08/31 13:51:55 [INFO][migration.go:161] finish dump slot  100
2025/08/31 13:51:55 [INFO][migration.go:161] finish dump slot  101
2025/08/31 13:51:55 [INFO][migration.go:161] finish dump slot  102
2025/08/31 13:51:55 [INFO][migration.go:161] finish dump slot  103
